person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,loan_status
23,18000,RENT,1.0,HOMEIMPROVEMENT,B,3000,11.71,0.17,N,4,1
24,36000,RENT,5.0,VENTURE,D,3525,14.59,0.1,Y,3,0
22,48000,MORTGAGE,7.0,EDUCATION,B,6500,10.62,0.14,N,2,0
21,15120,MORTGAGE,0.0,EDUCATION,B,1500,10.59,0.1,N,2,0
21,33000,MORTGAGE,2.0,HOMEIMPROVEMENT,A,3250,7.14,0.1,N,3,1
29,50700,RENT,5.0,HOMEIMPROVEMENT,B,12000,12.42,0.24,N,6,0
23,124000,MORTGAGE,4.0,MEDICAL,A,16000,6.03,0.13,N,4,0
30,75000,OWN,0.0,EDUCATION,A,10000,7.88,0.13,N,5,0
21,23000,RENT,5.0,PERSONAL,C,6250,13.48,0.27,Y,3,0
23,125000,MORTGAGE,6.0,EDUCATION,A,35000,8.9,0.28,N,4,0
24,100000,MORTGAGE,2.0,EDUCATION,B,7700,10.74,0.08,N,2,0
24,238000,RENT,2.0,VENTURE,D,10000,13.67,0.04,N,2,1
34,57996,RENT,3.0,PERSONAL,B,8000,11.12,0.14,N,8,0
33,40000,RENT,15.0,EDUCATION,B,15000,9.88,0.38,N,9,1
22,30000,RENT,4.0,EDUCATION,C,10000,14.35,0.33,N,3,1
28,25596,RENT,12.0,VENTURE,B,3000,,0.12,N,9,0
24,142000,RENT,3.0,DEBTCONSOLIDATION,A,3000,7.88,0.02,N,2,0
29,76176,MORTGAGE,12.0,MEDICAL,A,4800,6.99,0.06,N,7,0
33,62000,MORTGAGE,3.0,EDUCATION,A,10000,7.88,0.16,N,6,0
22,71000,RENT,6.0,EDUCATION,A,1500,6.99,0.02,N,3,0
23,70000,RENT,4.0,EDUCATION,A,10000,,0.14,N,3,0
21,54000,RENT,5.0,DEBTCONSOLIDATION,A,5125,5.99,0.09,N,4,1
43,41000,MORTGAGE,7.0,MEDICAL,C,6000,13.22,0.15,Y,16,0
23,87000,MORTGAGE,0.0,PERSONAL,C,7500,11.28,0.09,Y,2,0
29,70000,OWN,13.0,PERSONAL,D,25000,15.62,0.36,Y,9,0
22,59000,RENT,123.0,PERSONAL,D,35000,16.02,0.59,Y,3,1
28,79995,OWN,3.0,PERSONAL,C,15000,,0.19,N,10,0
34,204000,MORTGAGE,0.0,EDUCATION,B,16000,11.83,0.08,N,5,0
24,41000,MORTGAGE,3.0,VENTURE,A,2500,7.29,0.06,N,2,0
39,72000,RENT,5.0,MEDICAL,B,20000,12.69,0.28,N,14,0
25,132000,RENT,4.0,HOMEIMPROVEMENT,C,10000,12.84,0.08,Y,3,0
34,35000,MORTGAGE,12.0,HOMEIMPROVEMENT,C,5000,13.35,0.14,N,9,0
32,75000,MORTGAGE,16.0,EDUCATION,C,5000,12.61,0.07,Y,10,0
30,62000,MORTGAGE,1.0,VENTURE,A,15000,6.03,0.24,N,10,0
40,96050,RENT,3.0,MEDICAL,D,11000,16.77,0.1,N,16,1
22,62000,MORTGAGE,6.0,EDUCATION,A,15075,6.03,0.24,N,2,0
28,80000,MORTGAGE,13.0,PERSONAL,B,21000,11.36,0.26,N,7,0
53,24000,RENT,5.0,MEDICAL,B,4400,12.42,0.18,N,23,0
27,90000,RENT,2.0,DEBTCONSOLIDATION,C,9000,13.49,0.1,N,7,0
27,122880,MORTGAGE,3.0,VENTURE,A,35000,8.49,0.28,N,5,0
23,44000,RENT,7.0,EDUCATION,A,16000,8.49,0.36,N,4,1
30,145000,MORTGAGE,4.0,EDUCATION,B,12000,,0.08,N,8,0
24,35000,OWN,1.0,VENTURE,E,3500,16.0,0.1,N,3,0
21,9600,RENT,,MEDICAL,B,2375,10.0,0.25,N,3,1
28,69000,MORTGAGE,12.0,DEBTCONSOLIDATION,B,10000,9.88,0.14,N,8,0
23,120000,RENT,4.0,MEDICAL,C,23750,13.47,0.2,N,2,0
32,105000,RENT,15.0,EDUCATION,B,3000,,0.03,N,7,0
27,44004,RENT,2.0,PERSONAL,E,6000,17.19,0.14,Y,5,1
25,111996,RENT,9.0,PERSONAL,D,24250,,0.22,N,3,0
31,260000,MORTGAGE,6.0,DEBTCONSOLIDATION,C,25000,13.57,0.1,Y,10,0
53,24000,RENT,0.0,EDUCATION,D,5000,14.42,0.21,Y,27,1
31,29766,MORTGAGE,15.0,HOMEIMPROVEMENT,A,13900,8.94,0.47,N,8,0
30,90000,MORTGAGE,0.0,HOMEIMPROVEMENT,C,5000,12.87,0.06,Y,10,0
29,100000,MORTGAGE,2.0,HOMEIMPROVEMENT,D,20000,14.61,0.2,Y,10,0
25,84000,RENT,2.0,VENTURE,A,6000,8.94,0.07,N,2,0
23,83000,MORTGAGE,5.0,EDUCATION,B,20000,11.83,0.24,N,4,1
33,42000,RENT,3.0,MEDICAL,B,9000,,0.21,N,8,0
26,31200,RENT,1.0,VENTURE,A,6400,7.51,0.21,N,3,0
22,56004,MORTGAGE,6.0,MEDICAL,B,6000,11.86,0.11,N,3,0
30,100000,MORTGAGE,13.0,PERSONAL,A,10000,6.17,0.1,N,9,0
26,53000,RENT,5.0,DEBTCONSOLIDATION,A,10000,8.59,0.19,N,4,0
24,85500,MORTGAGE,8.0,EDUCATION,B,20675,10.0,0.24,N,2,0
27,31200,OWN,,EDUCATION,B,6000,11.71,0.19,N,6,0
33,97000,MORTGAGE,0.0,HOMEIMPROVEMENT,D,25000,16.0,0.26,N,6,0
25,80000,RENT,0.0,MEDICAL,B,10000,10.37,0.13,N,2,0
50,41496,RENT,9.0,DEBTCONSOLIDATION,D,5000,15.31,0.12,Y,16,1
27,34152,RENT,5.0,MEDICAL,C,5000,13.79,0.15,N,10,0
23,79000,RENT,5.0,EDUCATION,D,20000,16.89,0.25,Y,4,0
29,92200,RENT,7.0,VENTURE,D,25000,14.96,0.27,N,5,0
25,50000,MORTGAGE,6.0,PERSONAL,A,12800,7.49,0.26,N,4,1
30,54000,RENT,14.0,PERSONAL,D,4425,17.49,0.08,Y,9,0
24,38000,RENT,8.0,PERSONAL,C,6500,11.34,0.17,Y,3,0
29,38600,OWN,9.0,VENTURE,C,1600,12.84,0.04,Y,7,0
25,80000,MORTGAGE,5.0,PERSONAL,A,18200,7.9,0.23,N,2,0
30,90000,MORTGAGE,2.0,HOMEIMPROVEMENT,B,7000,11.71,0.08,N,10,0
30,32004,RENT,0.0,DEBTCONSOLIDATION,C,7500,13.47,0.23,Y,10,0
24,150000,MORTGAGE,8.0,EDUCATION,B,25000,,0.17,N,2,0
25,73000,RENT,4.0,MEDICAL,B,10000,11.71,0.14,N,3,0
27,51267,MORTGAGE,8.0,EDUCATION,A,4000,7.68,0.08,N,10,0
22,50004,RENT,6.0,VENTURE,D,15000,15.05,0.3,Y,2,0
43,50000,MORTGAGE,11.0,MEDICAL,A,11500,,0.23,N,12,0
24,50000,RENT,2.0,HOMEIMPROVEMENT,B,7500,10.01,0.15,N,3,0
33,51000,RENT,0.0,VENTURE,A,11000,9.63,0.22,N,7,0
24,65000,MORTGAGE,8.0,HOMEIMPROVEMENT,A,2000,5.42,0.03,N,3,0
28,55640,MORTGAGE,6.0,MEDICAL,B,20000,,0.36,N,8,0
22,40000,MORTGAGE,1.0,PERSONAL,E,8000,16.0,0.2,Y,3,0
25,85584,MORTGAGE,10.0,DEBTCONSOLIDATION,E,24000,17.19,0.28,Y,2,1
21,57000,RENT,6.0,HOMEIMPROVEMENT,D,10800,16.77,0.19,N,4,1
23,75000,RENT,2.0,PERSONAL,B,7000,6.0,0.09,N,3,0
24,35004,MORTGAGE,3.0,PERSONAL,A,9600,7.88,0.27,N,3,0
24,31000,MORTGAGE,8.0,HOMEIMPROVEMENT,A,8000,5.42,0.26,N,4,0
27,190000,RENT,5.0,VENTURE,A,22000,6.91,0.12,N,10,0
28,135996,MORTGAGE,12.0,HOMEIMPROVEMENT,A,12500,8.59,0.09,N,6,0
24,35004,OTHER,6.0,MEDICAL,A,18225,9.63,0.52,N,3,1
25,23198,RENT,2.0,VENTURE,A,6000,8.0,0.26,N,2,0
28,130000,MORTGAGE,1.0,EDUCATION,D,5600,15.65,0.04,N,9,0
23,70000,RENT,2.0,DEBTCONSOLIDATION,A,10000,9.63,0.14,N,3,0
25,28000,MORTGAGE,9.0,MEDICAL,A,4000,7.68,0.14,N,2,0
24,50160,MORTGAGE,2.0,EDUCATION,D,6000,15.62,0.12,N,2,1
23,70000,RENT,1.0,VENTURE,A,3500,5.42,0.05,N,2,0
41,26400,MORTGAGE,1.0,PERSONAL,D,10300,16.29,0.39,Y,14,1
39,32280,RENT,22.0,PERSONAL,B,2400,8.88,0.07,N,17,0
24,131004,MORTGAGE,8.0,PERSONAL,A,24000,7.49,0.18,N,4,0
25,31000,MORTGAGE,4.0,VENTURE,B,10000,10.38,0.32,N,4,0
34,45000,MORTGAGE,1.0,DEBTCONSOLIDATION,B,12000,11.86,0.27,N,5,0
35,38760,RENT,2.0,MEDICAL,F,8000,18.09,0.21,Y,7,1
25,60500,OWN,6.0,PERSONAL,B,17000,12.42,0.28,N,2,0
31,36000,OWN,15.0,VENTURE,A,5000,6.99,0.14,N,9,0
23,55000,MORTGAGE,5.0,MEDICAL,C,8000,13.85,0.15,Y,2,0
33,78000,MORTGAGE,6.0,MEDICAL,C,20000,15.96,0.26,N,10,0
38,90000,MORTGAGE,5.0,EDUCATION,A,25000,,0.28,N,17,0
25,60000,MORTGAGE,3.0,DEBTCONSOLIDATION,A,3200,5.42,0.05,N,4,0
28,55000,MORTGAGE,7.0,MEDICAL,A,8000,,0.15,N,8,0
30,51000,MORTGAGE,4.0,PERSONAL,B,2000,10.99,0.04,N,10,0
23,52102,MORTGAGE,1.0,MEDICAL,B,3500,10.75,0.06,N,3,1
23,25000,RENT,1.0,EDUCATION,B,5000,10.99,0.2,N,4,0
30,85000,MORTGAGE,2.0,EDUCATION,C,25000,12.84,0.29,Y,8,0
36,30000,RENT,7.0,EDUCATION,B,4000,10.74,0.13,N,12,0
21,18000,RENT,2.0,DEBTCONSOLIDATION,C,5800,14.72,0.32,Y,4,1
24,102000,OWN,8.0,MEDICAL,B,24250,11.83,0.24,N,3,0
27,98004,RENT,8.0,VENTURE,A,10000,6.54,0.1,N,7,0
25,48000,RENT,3.0,DEBTCONSOLIDATION,B,2000,10.74,0.04,N,2,0
41,33240,OWN,,MEDICAL,A,1000,7.29,0.03,N,17,0
36,31000,RENT,2.0,PERSONAL,D,8000,14.11,0.26,N,14,1
35,33000,RENT,2.0,VENTURE,C,7600,15.27,0.23,N,6,0
22,55000,MORTGAGE,2.0,EDUCATION,A,12000,6.54,0.22,N,4,0
24,44000,RENT,2.0,DEBTCONSOLIDATION,D,25000,15.33,0.57,N,2,1
30,36000,MORTGAGE,2.0,VENTURE,A,3000,6.39,0.08,N,10,0
41,48000,RENT,7.0,EDUCATION,A,8000,5.99,0.17,N,15,0
31,56000,OWN,6.0,VENTURE,A,11500,,0.21,N,9,0
27,105000,RENT,1.0,HOMEIMPROVEMENT,B,16000,,0.15,N,8,0
38,99996,OWN,22.0,HOMEIMPROVEMENT,D,25000,14.96,0.25,Y,13,0
25,137400,RENT,4.0,EDUCATION,C,3000,13.06,0.02,N,2,1
25,67200,MORTGAGE,9.0,MEDICAL,C,5000,13.8,0.07,Y,2,0
22,33996,RENT,1.0,EDUCATION,D,14900,15.37,0.44,Y,2,1
24,75000,RENT,0.0,VENTURE,E,25000,14.7,0.33,Y,3,1
26,204000,MORTGAGE,10.0,MEDICAL,C,15250,14.35,0.07,N,3,0
30,42564,RENT,3.0,MEDICAL,B,15000,10.75,0.35,N,6,1
30,30000,RENT,7.0,DEBTCONSOLIDATION,B,7200,10.36,0.24,N,6,0
